"id","path","name","type","category_raw","ext","bucket","well","tags","event_key","record_id","ext_norm"
"3e1b777065e78c6ba8a2e7c2a96befd6a4f2be75","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-1/MUD_LOG_2.DLIS","MUD_LOG_2.DLIS","file","well_data","dlis","Well_Logs_Wireline","15/9-F-1","DLIS","mud log 2","15/9-F-1|Well_Logs_Wireline|mud log 2","dlis"
"7f41935fa99ec2021327e1680cfa588be46029be","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-1/MUD_LOG_2_INF_1.ASC","MUD_LOG_2_INF_1.ASC","file","well_data","asc","Well_Logs_Wireline","15/9-F-1","","mud log 2 inf 1","15/9-F-1|Well_Logs_Wireline|mud log 2 inf 1","asc"
"373c7ed92ae90fa3a56a7fa76c599e1ee1fd71d1","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-1/MUD_LOG_MD_PLOT_4.PDF","MUD_LOG_MD_PLOT_4.PDF","file","well_data","pdf","Well_Logs_Wireline","15/9-F-1","","mud log md plot 4","15/9-F-1|Well_Logs_Wireline|mud log md plot 4","pdf"
"40d812a3bf5025afc3f56c178c1186288bcf9178","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-1/MUD_LOG_MD_PLOT_5.PDF","MUD_LOG_MD_PLOT_5.PDF","file","well_data","pdf","Well_Logs_Wireline","15/9-F-1","","mud log md plot 5","15/9-F-1|Well_Logs_Wireline|mud log md plot 5","pdf"
"653746da6a67d8cf2367ff035134f1644cdeaf2a","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-1/MUD_LOG_MD_PLOT_6.PDF","MUD_LOG_MD_PLOT_6.PDF","file","well_data","pdf","Well_Logs_Wireline","15/9-F-1","","mud log md plot 6","15/9-F-1|Well_Logs_Wireline|mud log md plot 6","pdf"
"4bd9633ec0c5de7571da5901e6cd1535d0626d61","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-1/MUD_LOG_REPORT_2.PDF","MUD_LOG_REPORT_2.PDF","file","well_data","pdf","Well_Logs_Wireline","15/9-F-1","","mud log report 2","15/9-F-1|Well_Logs_Wireline|mud log report 2","pdf"
"b2510615ca042570c1e263b0654e95670331eb1a","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-1/MUD_LOG_TVD_PLOT_2.PDF","MUD_LOG_TVD_PLOT_2.PDF","file","well_data","pdf","Well_Logs_Wireline","15/9-F-1","","mud log tvd plot 2","15/9-F-1|Well_Logs_Wireline|mud log tvd plot 2","pdf"
"e78929e839e11cbb541a7fe8189fe3e8c7098030","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/02.LWD_EWL/15_9-F-1/LOGGING_SUMMARY_1.ASC","LOGGING_SUMMARY_1.ASC","file","well_data","asc","Drilling_LWD_MWD","15/9-F-1","","logging summary 1","15/9-F-1|Drilling_LWD_MWD|logging summary 1","asc"
"b43148f3a5ceedc2c4adef5ff5544c32f227138e","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/02.LWD_EWL/15_9-F-1/MWD_REPORT_2.PDF","MWD_REPORT_2.PDF","file","well_data","pdf","Drilling_LWD_MWD","15/9-F-1","","mwd report 2","15/9-F-1|Drilling_LWD_MWD|mwd report 2","pdf"
"5e99064495d734534ece10d043e402a9e5a23875","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/02.LWD_EWL/15_9-F-1/WL_RAW_AAC-BHPR-GR-MECH-REMP_MWD_1.DLIS","WL_RAW_AAC-BHPR-GR-MECH-REMP_MWD_1.DLIS","file","well_data","dlis","Drilling_LWD_MWD","15/9-F-1","DLIS","wl raw aac bhpr gr mech remp mwd 1","15/9-F-1|Drilling_LWD_MWD|wl raw aac bhpr gr mech remp mwd 1","dlis"
"a329ff3e28d0ce2a8577a967d899f3ef1458f854","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/02.LWD_EWL/15_9-F-1/WL_RAW_AAC-BHPR-GR-MECH-REMP_MWD_1_INF_1.ASC","WL_RAW_AAC-BHPR-GR-MECH-REMP_MWD_1_INF_1.ASC","file","well_data","asc","Drilling_LWD_MWD","15/9-F-1","","wl raw aac bhpr gr mech remp mwd 1 inf 1","15/9-F-1|Drilling_LWD_MWD|wl raw aac bhpr gr mech remp mwd 1 inf 1","asc"
"bfb86edf4f931b6d8b62b03f35de8670d05c4520","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/02.LWD_EWL/15_9-F-1/WL_RAW_AAC-GR-REMP_MD_MWD_PLOT_1.CGM","WL_RAW_AAC-GR-REMP_MD_MWD_PLOT_1.CGM","file","well_data","cgm","Drilling_LWD_MWD","15/9-F-1","","wl raw aac gr remp md mwd plot 1.cgm","15/9-F-1|Drilling_LWD_MWD|wl raw aac gr remp md mwd plot 1.cgm","cgm"
"f2d8994199c22c6d7fea25427948615c06ca242b","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/02.LWD_EWL/15_9-F-1/WL_RAW_AAC_MD_MWD_PLOT_1.CGM","WL_RAW_AAC_MD_MWD_PLOT_1.CGM","file","well_data","cgm","Drilling_LWD_MWD","15/9-F-1","","wl raw aac md mwd plot 1.cgm","15/9-F-1|Drilling_LWD_MWD|wl raw aac md mwd plot 1.cgm","cgm"
"824e3d894529018545c1df0daf0a29e1f2f02153","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/02.LWD_EWL/15_9-F-1/WL_RAW_AAC_MWD_1-2_INF_1.ASC","WL_RAW_AAC_MWD_1-2_INF_1.ASC","file","well_data","asc","Drilling_LWD_MWD","15/9-F-1","","wl raw aac mwd 1 2 inf 1","15/9-F-1|Drilling_LWD_MWD|wl raw aac mwd 1 2 inf 1","asc"
"927ef755dd940758ad0a7163c2239647a5b98109","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/02.LWD_EWL/15_9-F-1/WL_RAW_AAC_MWD_1.DLIS","WL_RAW_AAC_MWD_1.DLIS","file","well_data","dlis","Drilling_LWD_MWD","15/9-F-1","DLIS","wl raw aac mwd 1","15/9-F-1|Drilling_LWD_MWD|wl raw aac mwd 1","dlis"
